epoch,accuracy,loss,val_accuracy,val_loss
0,0.3880431652069092,1.3182255029678345,0.4265129566192627,1.2529959678649902
1,0.6512593626976013,0.9776496291160583,0.6570605039596558,0.9269760251045227
2,0.7960143685340881,0.5840252637863159,0.6887608170509338,0.7846269011497498
3,0.8469415903091431,0.41898271441459656,0.7002881765365601,0.7751182317733765
4,0.8834763169288635,0.32993826270103455,0.6714697480201721,0.8311434984207153
5,0.9128148555755615,0.26303061842918396,0.6858789920806885,0.8531081676483154
6,0.92637699842453,0.21854424476623535,0.6945244669914246,0.8831161856651306
7,0.9432604312896729,0.18429458141326904,0.6974063515663147,0.9573978781700134
8,0.9490727782249451,0.15916089713573456,0.6916426420211792,0.9785740375518799
9,0.9562690258026123,0.13973881304264069,0.6685879230499268,1.0494054555892944
10,0.9634652733802795,0.12575402855873108,0.6887608170509338,1.0974383354187012
11,0.9667866230010986,0.10945603996515274,0.6887608170509338,1.1363037824630737
12,0.9670633673667908,0.10778923332691193,0.6858789920806885,1.2144593000411987
13,0.9701079726219177,0.09950396418571472,0.6772334575653076,1.221628189086914
14,0.9712150692939758,0.09653051197528839,0.6743515729904175,1.2329477071762085
15,0.972045361995697,0.08865392208099365,0.6829971075057983,1.2573120594024658
16,0.973706066608429,0.0857439860701561,0.6887608170509338,1.2756972312927246
17,0.9773041605949402,0.07921763509511948,0.6772334575653076,1.289344310760498
18,0.977027416229248,0.07299911975860596,0.6829971075057983,1.3484163284301758
19,0.9773041605949402,0.07439490407705307,0.6887608170509338,1.3701196908950806
20,0.9753667116165161,0.07193446159362793,0.6887608170509338,1.4128018617630005
21,0.976473867893219,0.06956657767295837,0.6858789920806885,1.3833742141723633
22,0.976473867893219,0.0692494586110115,0.6916426420211792,1.4363542795181274
23,0.9773041605949402,0.06376450508832932,0.6657060384750366,1.495766043663025
24,0.9789648652076721,0.0660620853304863,0.6829971075057983,1.4773503541946411
